ticker,company_name
FR0001,Usines Bordeaux SNC
FR0002,Ateliers Efficace SE
FR0003,Compagnie Clermontoise de Limoges EURL
FR0004,Céramique Tours SCOP
FR0005,Industrie Grenoble GIE
FR0006,Solutions Européenne SARL
FR0007,Chimie Annecy SNC
FR0008,Naval Commerciale de Caen SARL
FR0009,Plastique Reims EURL
FR0010,Services Besançon SARL
FR0011,Ateliers Nationale SNC
FR0012,Plastique Metz EURL
FR0013,Entreprise Excellence SAS
FR0014,Bois Brestoise de Bordeaux SE
FR0015,Groupe Orleanaise SA
FR0016,Solutions Durable SCS
FR0017,Naval Nantes SNC
FR0018,Développement Qualité GIE
FR0019,Fabrique Technique de Marseille SCOP
FR0020,Production Dynamique de Annecy SAS
FR0021,Bois Limoges SCOP
FR0022,Industrie Efficace de Metz SARL
FR0023,Alimentaire Clermont SNC
FR0024,Industrie Toulon SE
FR0025,Ateliers Dynamique de Perpignan SNC
FR0026,Production Régionale de Brest SAS
FR0027,Industrie Amiens SCS
FR0028,Plastique Paris EURL
FR0029,Compagnie Perpignan SCOP
FR0030,Fabrique Brest SCOP
FR0031,Automobile Clermontoise SE
FR0032,Électronique Internationale SCS
FR0033,Consulting Grenoble SARL
FR0034,Services Lyon EURL
FR0035,Groupe Mulhouse SARL
FR0036,Alimentaire Bordeaux SE
FR0037,Énergie Clermontoise de Nantes SE
FR0038,Ferroviaire Amiénoise SCOP
FR0039,Automobile Continentale de Clermont GIE
FR0040,Ateliers Toulousaine de Saint-Étienne GIE
FR0041,Consulting Dijonnaise EURL
FR0042,Métallurgie Intégrée EURL
FR0043,Ateliers Perpignan SE
FR0044,Compagnie Amiénoise SAS
FR0045,Verre Dijon SAS
FR0046,Bois Limogeaude de Rouen SCOP
FR0047,Énergie Rouen EURL
FR0048,Groupe Qualité SE
FR0049,Ferroviaire Strasbourg SE
FR0050,Hydraulique Strasbourgeoise de Marseille SAS
FR0051,Consulting Internationale de Mulhouse SARL
FR0052,Société Précision de Clermont SARL
FR0053,Textile Limogeaude EURL
FR0054,Verre Rennaise de Orléans SNC
FR0055,Entreprise Lyonnaise de Angers SCOP
FR0056,Entreprise Limoges EURL
FR0057,Chimie Montpellier EURL
FR0058,Aéronautique Commerciale de Angers SNC
FR0059,Industrie Performante SE
